landmark,x,y,z
ACL_AM1,2.5968486095026,18.7495175616715,15.5461935118945
ACL_AM2,2.70069336412477,21.218574154504,14.4529148711891
ACL_PL1,4.94713997060239,18.1091289160533,8.65841012930995
ACL_PL2,2.44340322433584,18.2896046830148,10.9036686071275
PCL_AL1,-10.9515205509507,17.0320663672374,13.49506032115
PCL_AL2,-11.3003277940183,17.6088517809854,10.4129774599454
PCL_PM1,-12.6498624156185,18.5947718674019,12.598528377108
PCL_PM2,-12.6957947583686,19.6966166266137,9.94798716136932
LCL_1,39.9385417008959,12.0616583412184,8.44000406888891
LCL_2,39.7710512106427,14.4442789957784,8.70552847388868
LCL_3,37.9622715460386,15.5977485105305,8.88107766358513
MCL_Ant,-43.7487425592905,4.74768880377338,21.0374658771301
MCL_Med,-42.5695209458556,11.9708911486058,20.0151172932743
MCL_Post,-39.7633687729419,18.7505094098083,19.1763426584236
MCL_D1,-44.9398782525328,7.81385526179201,13.2269684804392
MCL_D2,-41.9687898512386,12.7500033846225,11.8430043536351
MCL_D3,-39.0304571825554,17.4942210209708,11.0604856330927
ALS_1,41.1599441031899,6.61048888140243,10.9027511981627
ALS_2,40.487636524144,9.33469501275373,9.66668850203293
ALS_3,40.2688344797764,11.7770285185179,9.29094747136131
PFL_1,36.8229190975051,15.4712596742607,5.1079482130421
PFL_2,38.5417397865861,19.2251894056391,5.68486997685734
PFL_3,38.3883994661776,21.9752910443443,6.65771850434016
POL_1,-40.5064620415301,14.9026656947127,8.03853656736379
POL_2,-39.1174832186875,16.876784180563,8.19555771722883
PCAPL_1,28.8765645075878,22.1141822963707,29.589840010916
PCAPL_2,17.5793860512427,28.0486724661152,30.1300622483788
PCAPL_3,9.9617659272845,27.0819572890726,27.8764413204238
PCAPM_1,-11.5076389702314,23.7470644033716,14.6127759160853
PCAPM_2,-22.0106821972882,37.2338896855387,17.2401369048663
PCAPM_3,-36.1376727326929,26.2402899312522,14.5850267568357
