landmark,x,y,z
ACL_AM1,2.32220981614292,17.9774604583566,15.099941348766
ACL_AM2,2.45777668986401,20.38314324626,14.0237162292043
ACL_PL1,4.88918853231861,17.3068705971727,7.99858719785835
ACL_PL2,2.31195529204058,17.4943085152083,10.2808304130574
PCL_AL1,-10.7456130880982,16.5534535520029,12.5379170657126
PCL_AL2,-11.1362423805298,16.7938393345984,9.22633357265012
PCL_PM1,-12.4459004362593,18.0836101232425,11.5792639166627
PCL_PM2,-12.5363342288022,18.9687172652321,8.79819465211945
LCL_1,39.8596220322723,11.4492780898971,7.73574929731645
LCL_2,39.7501149045069,13.8862369113884,8.1125119144965
LCL_3,37.98058156996,15.1240320381967,8.42103520046412
MCL_Ant,-43.612295433405,3.98650401110269,20.809468814338
MCL_Med,-42.7303579045725,11.1577181559612,20.2649299493277
MCL_Post,-39.9873895333772,18.0392476537641,19.5340260537615
MCL_D1,-44.9305010759548,7.31042540113574,12.5878666011135
MCL_D2,-42.1049119468354,12.3843442139538,11.5960235042746
MCL_D3,-39.0890902088194,17.4395436157807,10.9976242536864
ALS_1,40.8944612632743,5.87605058579912,9.95070785476384
ALS_2,40.3308464260724,8.60900366766946,8.93216360898601
ALS_3,40.1896552829966,11.1564311367333,8.5905742484036
PFL_1,36.81737123875,15.0733590381787,4.83917901567935
PFL_2,38.4791621876015,19.1696178884551,5.69791873013591
PFL_3,38.3210681709421,21.9976656725461,6.77629193831873
POL_1,-40.3959893861269,14.9289813364074,7.74286044206142
POL_2,-39.0068705414559,17.0010323146648,7.99369021953062
PCAPL_1,28.3095540155061,21.831076714017,30.0247321288246
PCAPL_2,17.0968584405455,27.3500345629357,30.4347707488228
PCAPL_3,9.51192107178148,26.4280009062675,28.0119679993058
PCAPM_1,-11.3996132276823,23.5402739641132,14.0468545867509
PCAPM_2,-21.3687634921708,37.154060366497,17.2318258591484
PCAPM_3,-36.0569092634692,26.1465897211106,14.8884050569874
