-2.1845,20.965,14.466
-1.9043,24.707,13.513
2.1123,20.342,7.5866
-1.1409,20.928,9.5821
-13.349,18.562,10.467
-13.751,18.661,6.8051
-14.957,20.096,9.2332
-15.054,20.9,6.1913
38.094,12.403,11.156
37.899,15.092,11.389
35.702,16.833,11.396
-44.819,6.4272,19.042
-43.57,12.844,17.816
-40.611,19.305,16.25
-46.671,10.367,10.156
-43.315,14.807,8.6117
-40.103,19.212,7.4111
38.409,6.2058,14.19
38.413,9.273,12.768
38.436,12.175,12.176
33.463,16.49,7.1091
34.277,20.956,8.0502
34.152,24.189,9.051
-41.029,16.878,4.0825
-39.696,18.656,4.1513
25.833,21.915,33.915
14.62,29.863,33.846
5.7773,30.377,31.077
-14.12,25.358,11.745
-22.382,38.938,13.555
-38.071,28.594,10.466
